geo_id,AI agent design,AI app building,AI image generation,API debugging,Account and billing,Accounting and bookkeeping,Automated pipelines,Backend architecture,Booking and scheduling,Business operations,Buying and investing,CRM,Career interview prep,Career navigation,Code design,Companionship and conversation,Cooking,Customer support and service,Dashboards and charts,Data analysis,Destination research,Document transformation,Editing and rewriting,Education and learning — other,Emotional Wellbeing and Support,Entitlements and rules,Fiction writing,Financial modeling,Finding the best price,Formatted writing,Gaming,Home renovation,Homework,Instructional design,Math and CS theory,Media discovery,Medical Questions,Outdoor and garden,Promotional writing,Quant trading,Reference and fact-finding,Reference documentation,Research and evidence,Science,Self-presentation writing,Self-reflection,Server infrastructure,Shell and systems code,Slide decks,Software development — other,Software how-to,Starting a business,Structured extraction,Trend tracking,Video scripts,Web front-end,Wellness and fitness,Workplace writing
AK,,,,,,,,,,0.8663194444444445,1.431924882629108,,,,,,,,,,,,,,1.1178451178451176,,,,,,1.9137931034482762,,0.7283531409168083,,,,1.0776699029126213,,0.9746478873239437,,1.7627118644067798,,,,0.9120879120879121,,,,,,,0.961111111111111,,,,,,0.9256505576208179
AL,0.78,1.0947368421052632,1.0188679245283019,1.352941176470588,0.7647058823529412,0.9433962264150942,0.9642857142857143,0.74,0.6727272727272726,,0.8215962441314555,0.7678571428571428,,0.9642857142857143,1.305084745762712,1.3164556962025316,0.8666666666666667,1.38,0.9259259259259258,0.7976190476190477,0.5064935064935066,1.2133333333333334,0.9777777777777777,0.6842105263157896,0.9898989898989898,1.2333333333333334,1.6477272727272727,0.54,0.7741935483870968,1.2706766917293233,1.732758620689655,1.0634920634920635,1.198641765704584,1.2435897435897436,0.8818181818181817,1.5555555555555558,0.8737864077669902,1.5344827586206897,1.0535211267605635,1.1754385964912282,1.152542372881356,1.04,1.1578947368421053,1.4492753623188408,0.8214285714285715,1.0634920634920635,0.896551724137931,1.1896551724137931,0.8859060402684564,1.0941176470588236,0.9393939393939394,0.9444444444444444,1.0393700787401574,0.5324675324675324,1.1166666666666667,1.0460829493087558,0.8333333333333334,0.8029739776951673
AR,,1.368421052631579,,1.3137254901960784,,1.3396226415094339,1.1964285714285714,,,,0.863849765258216,,,,1.1016949152542375,1.1645569620253164,1.2583333333333333,,,1.4880952380952381,,1.1199999999999999,0.7407407407407407,,1.0,1.4666666666666668,1.7613636363636365,,1.2741935483870968,1.0676691729323307,1.3362068965517242,1.0634920634920635,1.028862478777589,1.0128205128205128,1.0272727272727271,1.6752136752136753,0.8932038834951457,1.7241379310344829,1.0253521126760565,,0.9576271186440678,1.05,1.2556390977443608,,0.7362637362637363,,0.9655172413793103,,0.7046979865771812,1.2823529411764707,1.0101010101010102,0.9749999999999999,0.984251968503937,0.922077922077922,,1.1382488479262673,0.9375000000000001,0.7286245353159851
AZ,1.08,1.0842105263157895,0.9056603773584905,1.0,1.1372549019607843,1.0566037735849056,1.2053571428571428,0.82,0.8363636363636363,1.0694444444444444,0.9483568075117371,0.9285714285714285,0.7735849056603773,0.8928571428571428,1.0084745762711864,1.10126582278481,1.1583333333333332,0.98,0.9259259259259258,0.9642857142857144,1.1168831168831168,1.0533333333333335,0.9703703703703703,0.8245614035087719,1.0168350168350169,1.0333333333333334,1.1477272727272727,0.91,1.032258064516129,1.045112781954887,1.0258620689655173,0.7936507936507936,0.9575551782682513,0.9743589743589743,0.9090909090909091,1.170940170940171,0.9077669902912622,0.810344827586207,1.1267605633802817,1.087719298245614,1.1101694915254239,0.94,0.8195488721804511,0.9710144927536233,0.9725274725274725,0.8253968253968255,1.0574712643678161,1.0689655172413794,0.8859060402684564,1.1058823529411765,1.2424242424242424,1.0083333333333333,0.952755905511811,0.8961038961038961,1.0833333333333335,1.2995391705069124,0.9270833333333334,0.9107806691449815
CA,1.08,0.9368421052631579,0.9811320754716981,0.9215686274509803,1.1372549019607843,1.0188679245283019,0.9642857142857143,0.96,1.2181818181818183,1.0034722222222223,1.107981220657277,1.107142857142857,1.2641509433962264,1.0357142857142856,0.9576271186440678,0.9746835443037974,1.0166666666666666,1.02,0.8888888888888888,0.9642857142857144,1.1688311688311688,1.0,1.0,0.9649122807017545,1.0572390572390573,1.05,0.8181818181818181,0.99,1.032258064516129,0.9022556390977443,0.810344827586207,0.7936507936507936,0.904923599320883,0.8461538461538461,1.1363636363636362,0.7692307692307693,1.058252427184466,0.6551724137931035,0.9605633802816902,0.9824561403508774,1.0,0.98,1.1052631578947367,1.1014492753623188,1.010989010989011,1.0476190476190477,0.9310344827586208,1.0,0.9328859060402684,0.9294117647058824,1.0808080808080809,1.0972222222222223,1.062992125984252,1.025974025974026,1.2166666666666668,0.9216589861751152,1.0052083333333333,1.1115241635687734
CO,0.94,0.8736842105263158,0.9056603773584905,0.9803921568627451,1.0392156862745099,0.8490566037735849,1.3035714285714284,0.98,0.8727272727272726,1.0868055555555556,1.023474178403756,1.2499999999999998,0.6037735849056604,0.9464285714285714,0.9491525423728815,0.8481012658227848,1.3,0.96,1.2777777777777777,0.8690476190476191,0.974025974025974,1.0266666666666666,1.074074074074074,0.8771929824561404,1.0404040404040402,0.8833333333333334,0.9886363636363636,1.1,1.0806451612903227,1.0225563909774436,1.1379310344827587,1.3015873015873014,0.7402376910016979,0.8333333333333334,0.6818181818181818,0.8376068376068376,1.0242718446601942,1.2586206896551724,1.1098591549295775,1.0,0.9915254237288136,1.14,0.857142857142857,0.9130434782608696,0.9038461538461539,1.0793650793650795,1.1379310344827587,1.0172413793103448,0.9530201342281879,0.9764705882352941,1.2727272727272727,1.1166666666666665,1.0708661417322836,0.974025974025974,0.65,0.9539170506912442,1.0625,1.1115241635687734
CT,0.76,0.8631578947368421,0.7547169811320755,0.7843137254901961,0.8627450980392157,0.9056603773584905,1.1428571428571428,0.92,0.9818181818181818,,1.1267605633802817,1.0535714285714284,0.6037735849056604,1.125,0.6694915254237289,0.9113924050632911,1.0416666666666667,0.78,0.9629629629629629,1.0714285714285714,0.8701298701298702,0.88,1.2148148148148146,1.0526315789473684,0.9393939393939393,1.0333333333333334,0.7840909090909091,1.03,1.032258064516129,0.9924812030075187,0.8706896551724138,1.0158730158730158,1.1477079796264855,0.9871794871794871,1.1363636363636362,0.7692307692307693,1.0436893203883495,1.293103448275862,0.9408450704225352,0.736842105263158,1.1610169491525426,0.89,1.406015037593985,1.028985507246377,1.173076923076923,0.9841269841269841,1.0229885057471264,0.9655172413793105,1.1073825503355703,0.8823529411764706,0.9494949494949495,0.8666666666666667,1.1732283464566928,0.922077922077922,0.7833333333333333,0.8479262672811061,0.9375000000000001,1.033457249070632
DC,1.0,0.7157894736842106,0.830188679245283,0.7647058823529412,1.2549019607843137,0.9811320754716981,0.6607142857142857,0.7,1.2,,0.7699530516431925,0.6249999999999999,0.7358490566037735,1.0892857142857142,0.7796610169491526,0.7784810126582278,0.7666666666666667,0.78,1.6666666666666665,1.4642857142857144,1.1688311688311688,1.1733333333333333,1.748148148148148,0.8771929824561404,0.9562289562289561,0.8833333333333334,0.7954545454545454,1.2,0.6774193548387096,1.3157894736842104,0.5258620689655172,0.5873015873015873,1.1205432937181663,1.2564102564102564,0.5727272727272726,0.8034188034188035,0.7087378640776699,0.6379310344827587,0.6901408450704226,0.9298245614035089,0.7966101694915254,1.03,1.6917293233082706,0.8840579710144928,1.815934065934066,0.9047619047619047,0.5287356321839081,0.8275862068965517,1.604026845637584,0.45882352941176474,1.0,0.7972222222222223,1.0708661417322836,1.12987012987013,0.5166666666666667,0.6036866359447005,0.8072916666666667,1.3643122676579926
DE,,1.0315789473684212,,,,,,,,,1.1549295774647887,,,,1.2033898305084745,1.1075949367088607,0.9083333333333334,,,,,,0.8074074074074075,,1.0303030303030303,,1.1818181818181819,,,0.9473684210526315,1.0344827586206897,,0.9728353140916809,1.1153846153846154,0.8454545454545455,1.2564102564102564,1.1650485436893203,,0.9070422535211269,1.4385964912280702,1.4830508474576272,1.36,0.7368421052631579,1.2608695652173914,0.554945054945055,,,,1.1006711409395973,1.223529411764706,0.9393939393939394,1.1972222222222222,0.6456692913385826,,,0.9308755760368664,1.4791666666666667,0.8513011152416358
FL,1.14,1.1473684210526318,1.3584905660377358,1.0392156862745099,1.1764705882352942,1.0754716981132073,1.3214285714285714,1.28,1.0727272727272725,1.3159722222222223,1.0328638497652582,1.4285714285714286,0.4339622641509434,0.7678571428571428,1.0169491525423728,0.8987341772151898,0.8250000000000001,1.18,0.9259259259259258,0.7857142857142858,1.0,1.2,0.8,1.0,0.8047138047138047,0.8833333333333334,1.0,1.08,1.0806451612903227,1.0526315789473684,0.9224137931034484,0.8412698412698413,0.8471986417657047,0.8333333333333334,0.6090909090909091,0.9316239316239318,0.9611650485436893,0.7758620689655173,1.3577464788732396,1.3333333333333335,0.9237288135593221,0.94,0.5939849624060151,0.7536231884057972,0.7582417582417582,0.9206349206349206,1.0459770114942528,0.7758620689655173,0.8791946308724833,1.0823529411764707,0.9292929292929294,1.0888888888888888,1.1338582677165354,0.961038961038961,1.3166666666666669,1.23963133640553,0.890625,1.0260223048327137
