geo_id,user_Management,user_Business and Financial Operations,user_Computer and Mathematical,user_Architecture and Engineering,"user_Life, Physical, and Social Science",user_Community and Social Service,user_Legal,user_Educational Instruction and Library,"user_Arts, Design, Entertainment, Sports, and Media",user_Healthcare Practitioners and Technical,user_Healthcare Support,user_Protective Service,user_Food Preparation and Serving Related,user_Building and Grounds Cleaning and Maintenance,user_Personal Care and Service,user_Sales and Related,user_Office and Administrative Support,"user_Farming, Fishing, and Forestry",user_Construction and Extraction,"user_Installation, Maintenance, and Repair",user_Production,user_Transportation and Material Moving,wf_Management,wf_Business and Financial Operations,wf_Computer and Mathematical,wf_Architecture and Engineering,"wf_Life, Physical, and Social Science",wf_Community and Social Service,wf_Legal,wf_Educational Instruction and Library,"wf_Arts, Design, Entertainment, Sports, and Media",wf_Healthcare Practitioners and Technical,wf_Healthcare Support,wf_Protective Service,wf_Food Preparation and Serving Related,wf_Building and Grounds Cleaning and Maintenance,wf_Personal Care and Service,wf_Sales and Related,wf_Office and Administrative Support,"wf_Farming, Fishing, and Forestry",wf_Construction and Extraction,"wf_Installation, Maintenance, and Repair",wf_Production,wf_Transportation and Material Moving,dissimilarity
AK,6.439555745407946,6.674498077744555,23.48355403673644,2.498932080307561,5.126014523707818,3.214438274241777,2.3814609141392573,10.967535241349852,14.064502349423325,3.4600598035027774,0.0,0.0,0.0,0.0,0.0,12.03545493378898,7.742417770183684,0.0,0.0,0.0,1.9115762494660404,0.0,12.23412261911654,4.328721125455914,1.9724425403809416,2.2902796271637818,1.8549180802408385,2.2517802350489204,1.2699010015631331,5.712094019568112,1.7822613327157992,7.516355004920975,4.0291205928327445,2.2225438545707172,4.871765182655011,3.5726278006136742,1.9738898859491691,7.661668499971053,10.912117177097205,1.110403519944422,5.993747467145256,3.788571759393273,4.798240027789035,7.852428645863487,51.322323969331066
AL,5.553863336379327,5.980302568788709,22.428672961722,3.045994517209869,4.386232104782211,3.076454462381967,1.0965580261955528,10.965580261955528,13.940501573763834,3.8277997766270686,0.6295055335567062,0.39597928723728293,0.7513453142451009,0.0,1.462077368260737,12.651030561478322,7.015940704640064,0.0,0.0,1.4113107929739057,0.9950248756218903,0.3858259721799167,10.293910940272182,5.190690274467447,2.7432819206411305,2.92570609950386,0.7217330645129705,1.6966493047471627,0.8452784470967706,6.291414792633927,1.629023547601962,7.315113834515334,2.766476597963133,2.052184977769229,4.5112559460839075,3.446259064092594,2.1076694310254265,9.117640531240792,10.212098569980691,0.447835692909435,4.900125808277933,3.93073625476024,8.486336246230865,8.368578653673007,46.40990905583198
AR,5.22995522995523,7.01058201058201,23.63654863654864,2.91005291005291,3.9275539275539275,3.1542531542531544,0.8445258445258446,11.507936507936508,14.061864061864062,3.9275539275539275,0.5291005291005291,0.0,0.875050875050875,0.0,1.231176231176231,11.57916157916158,7.7126577126577125,0.0,0.0,0.9157509157509158,0.9462759462759464,0.0,10.298782088050537,5.065461040702962,2.2178021752737633,1.3564019073084168,0.5466173191688276,1.6129536454846094,0.7001557921153051,6.48932682248786,1.685942578646666,7.008609640791217,3.218710175049853,1.994109996648616,4.773359911773537,3.6128794933811976,1.8753939330493743,9.465806793059654,11.24698393589187,0.7551882845492461,5.381843348592673,4.090360880839751,7.929840478470082,8.673469758663984,49.49201055823057
AZ,5.935980551053486,6.077795786061589,22.4371961102107,3.0692868719611024,4.163290113452189,3.140194489465155,1.002836304700162,11.588330632090763,12.803889789303083,4.639384116693679,0.8002431118314427,0.3950567260940033,0.5571312803889791,0.1519448946515397,1.4181523500810373,11.92260940032415,7.435170178282011,0.0,0.0,0.8610210696920584,1.124392220421394,0.4760940032414911,11.52989958904184,6.51444679513033,3.702459079507537,2.704732702588747,0.8071748365484552,1.6626101353268017,1.0015620245693269,5.5381599711238705,2.0537316987367835,6.571380400928227,3.0534617721894364,2.4775421398849247,5.381270532522428,3.4092896523672387,2.5102023933868853,9.342721701149808,11.576957833351416,0.3981917497508975,5.046567338658777,3.4341927378595307,4.08001275495965,7.203432160417089,43.314481561955965
CA,5.798276735935125,6.315255955397872,21.37861125190066,3.030917384693361,4.368981246832235,3.2235174860618354,1.1556006082108465,12.529143436391282,13.076533198175369,4.257475924987329,0.6994424733907755,0.4358844399391789,0.6386213887480994,0.1824632539280284,1.2265585402939685,11.444500760263558,7.8560567663456675,0.050684237202230115,0.14191586416624433,0.7906741003547898,1.0035478966041562,0.3953370501773949,11.521495786470348,5.963072895024777,4.3867768886934195,2.689644573802756,1.5316741865032293,1.7453123175248757,1.3188822407574756,5.694989836841813,2.976080917597006,5.58001901131292,3.9887702279013464,2.014893281320444,5.463271722285566,3.575453395005699,2.7329997436216287,8.651792446414134,9.807219022076817,1.3250367932920737,4.6491784171668185,2.527387233198046,4.40721673054402,7.448832332644788,41.72811665731416
CO,6.212059894779441,6.4548765681910165,21.47915823553217,3.0959125859975716,4.168352893565358,3.1566167543504657,0.981384055038446,10.997571833265884,12.302711452853096,4.906920275192229,0.6879805746661272,0.44516390125455285,0.6475111290975314,0.0,1.3759611493322543,12.474706596519628,7.800485633346822,0.0,0.141643059490085,0.981384055038446,1.2950222581950628,0.3945770942938082,14.30443437719525,7.1567544311091105,5.316728083373577,3.275825635356732,1.475174937668441,1.8362823294393429,1.1675625869770352,5.950545960362903,2.626270189935952,6.193907149615413,2.650891869578709,1.8396773290808053,5.696714211468499,2.5343513678675658,2.498243801587337,9.158884079482336,9.148254874997384,0.4472832705205518,5.11448763744196,2.8473893721915897,2.9440992685203575,5.816237236229152,38.21523218582406
CT,5.905032467532469,6.300730519480521,20.17045454545455,2.709009740259741,4.778814935064936,3.4395292207792214,0.903003246753247,13.210227272727277,13.047889610389612,4.677353896103897,0.59862012987013,0.35511363636363646,0.6696428571428573,0.22321428571428578,1.4914772727272732,12.155032467532472,7.041396103896107,0.0,0.0,0.7102272727272729,1.1465097402597404,0.46672077922077937,12.223658196775691,6.955536389570756,3.652464671929941,2.7643070390764946,1.3389769787036423,1.9563457838519205,1.3215152922444104,7.8055330723810785,2.376116234326279,7.0165726796258205,3.711590260731109,2.027731705698932,4.417328998872155,3.492018841637365,3.0149804285809063,9.04823193790221,9.477502819611225,0.2137862402972202,4.447953293969349,2.3599283487029785,4.790924169043985,5.5869966164665295,40.62427937285298
DC,5.902038332826286,6.104857519521347,18.730351891288915,2.231011053645675,4.431599229287091,3.0422878004259206,1.1864922421661088,13.872832369942195,16.610891390325524,3.9549741405536967,0.618598519419937,0.4563431700638881,0.6794442754284556,0.0,1.4602981442044418,9.867153432714735,9.066017645269241,0.0,0.0,0.6490213974241963,0.7808538687759863,0.35493357671635734,18.30152047633632,13.804201685034547,7.891786105472988,1.5734256658897303,5.1545134112346025,1.899946531559358,8.429066067266413,6.12421289783375,5.894765803038876,3.712163291579499,1.5461723344944118,2.8135820221452787,3.934342831335621,1.862310978680108,2.1717011789012495,3.939793497614685,7.009037723801762,0.0,0.8728852712614918,0.4202204145621039,0.886382159190602,1.7579696527666024,39.55918919023734
DE,5.3767820773930755,6.25254582484725,20.835030549898168,3.136456211812627,4.684317718940936,3.4928716904276986,1.0285132382892057,12.179226069246436,13.411405295315681,5.397148676171079,0.9877800407331975,0.0,0.7535641547861507,0.0,1.15071283095723,12.219959266802444,7.260692464358452,0.0,0.0,0.9164969450101833,0.9164969450101833,0.0,12.393100535563097,6.804883320213591,4.023762266298388,1.5608858503080332,1.5394712578495386,2.2873957277888044,1.2446240450182322,6.393247265178088,1.3889742608495643,6.665490185969873,3.823099603631756,2.5108609657584635,5.231307341041265,3.409877282488217,1.673907310505642,7.9337099393451505,10.70095116481503,0.2569751095019322,4.192104757013775,3.4604395146818847,4.756617208211306,7.74831508796837,44.83182023482643
FL,6.738054348924134,7.394686331952722,22.41640569754521,2.747752298211941,3.7074451964844934,2.949792908374583,1.3536720880897062,10.132336599656531,12.455803616526923,4.2630568744317605,0.6970401050611172,0.5354076169310032,0.5758157389635317,0.16163248813011416,1.3334680270734418,11.496110718254371,8.364481260733408,0.04040812203252854,0.15153045762198203,0.8889786847156279,1.1415294474189313,0.45459137286594614,12.206310667171737,6.289830722487104,3.2043495621876223,1.7989981544459868,0.7324161009095446,1.4445828260505935,1.3194709442890564,4.874368604801236,2.169339015831881,6.517056115372053,2.8827823928276395,2.2802213546580785,5.905223043659164,4.258323513830472,2.8361706221907252,10.69841709147956,11.074498226898308,0.4854724939766726,5.205133258691133,3.0575905106560826,3.12329614735358,7.636148630231768,42.1222324326139
GA,6.1727143725927425,6.801135211838637,21.457530914250963,2.8887086965335493,4.307723494830731,3.344820595986215,1.1048043786742348,11.838637745793633,13.288060004054325,3.8921548753294135,0.6182850192580579,0.3851611595378066,0.729779039124265,0.17230893979322928,1.307520778430975,11.737279545915264,7.662679910804783,0.0,0.0,0.7703223190756132,1.0946685586863978,0.42570443948915465,11.781981440756043,6.739799130430554,4.13101597776811,1.9929098256559272,0.9032359908830996,1.46799228063534,1.0676596551722848,6.399972767505949,2.0435031611015244,5.7478330902484105,2.260839411703314,1.9537818190931953,5.105755969171919,3.369965027941362,2.3924381947699396,9.712536336488888,10.650299239472751,0.3365719302563857,4.597278920216648,3.265542628017972,5.3060719109916406,8.77301529171874,42.310075462235886
HI,6.095451307621859,6.512669176757912,20.443675587666633,2.747532308944744,4.182354736949222,3.4395034089752725,1.160069197110003,12.831993487330823,13.574844815304774,4.762389335504223,0.7733794647400021,0.468098097079475,0.7224992367965808,0.0,1.46535056477053,11.030833418133714,7.479393507682914,0.0,0.0,0.9158441029815815,0.9463722397476341,0.4477460059021065,9.763788959847869,5.2495002508104545,2.5738393465451797,2.137653761782476,1.125876900731468,2.1858692641146393,1.1913122253251176,6.621845216258507,2.234234504031684,6.221297176697837,3.154970913474137,3.02005734949501,7.9371401618663295,4.932655521199099,3.1834210546018102,9.508186902453447,10.764335502032688,0.5646604325918827,5.3763279852059265,2.7586155262901766,2.8041357520944543,6.690275292549806,43.126400793335236
IA,6.3438206868188365,4.791281102200289,23.75077112893276,3.074234011926795,4.328603742545754,2.9714168208924536,0.5654945506888753,14.959901295496609,13.212009047912812,3.7322640345465765,0.0,0.0,0.0,0.0,1.172115977791487,11.957639317293852,7.001850709438619,0.0,0.0,0.6271848653094798,1.0281719103434095,0.48324079786140245,11.119399376163647,5.641668883139492,3.000640762144256,2.0939623280218584,0.993362671373649,1.8653432308919895,0.6328432913412482,6.621551369780207,1.5372851028846386,6.241023285054526,2.868740479241725,1.4466112145465095,5.144111033198733,3.120209396232802,2.5510191745049204,8.689460067219576,10.030224629446042,0.9079478685591316,5.343654036801508,3.854607442512755,7.990666634427061,8.305667722513723,49.45296983268486
ID,6.24232501023332,5.710192386410153,24.20180106426525,3.1313958248055678,4.052394596807205,3.2337290216946384,0.9516987310683588,11.113385182153092,12.94514940646746,4.277527629963161,0.5116659844453542,0.0,0.6037658616455179,0.0,0.9312320916905447,11.266884977486697,8.329922226770366,0.0,0.0,1.0437986082685224,1.4531313958248058,0.0,11.503515511936078,5.2820793801847525,2.770862104137762,2.48067082568337,0.8922554067751172,2.0167065586219493,0.7662245975825581,6.0992503302968455,1.9433309942869592,5.94876099965929,3.5243768150305623,1.6109514364842104,5.388137510293406,3.31001763363271,2.484302221880444,9.009921188021949,10.366781696481498,1.6064655941231194,6.64075558674284,3.1482068913219243,5.630372997792325,7.576053719030332,45.345329805567154
IL,5.70318887980376,6.071136549468519,20.95257563368765,2.9129190515126733,4.343826655764513,3.4546197874080122,0.9403107113654946,12.64309076042518,13.082583810302534,4.425592804578904,0.766557645134914,0.4497138184791496,0.7972199509403106,0.18397383483237933,1.318479149632052,12.009403107113654,7.7575633687653305,0.0,0.0,0.695012264922322,1.0834014717906786,0.4088307440719542,11.815794587881747,7.086139801204904,4.0614270839752065,1.9041321635043045,1.0639534975581162,1.7845580672225092,1.3384936002262555,6.5430161807389,1.924356112135475,6.272220668559501,3.398681967347803,2.144496952977739,4.939383453966027,2.734325254813853,2.437538808651426,8.8584212996099,10.20934946825235,0.2813024854916868,3.711931971692792,2.8150630497398534,5.905819599218217,8.76959392523143,43.25915440146982
IN,5.7774981650414166,5.462933836636258,22.20824158540421,3.240012582573135,4.466813463353255,2.9883611198490088,0.8598091643074339,12.876166509384499,13.43189682290028,4.299045821537169,0.681556044877844,0.4928174478347487,0.4928174478347487,0.0,1.8454440599769317,11.25091747929118,6.909929747299988,0.0,0.23068050749711647,0.9751494180559922,1.142917059872077,0.36699171647268525,10.662576795788889,5.25311242519699,2.7700215220106106,2.3938144147282587,0.9793548120440596,1.7717131697581798,0.7241315174936452,5.924841241958768,1.7761415670031266,6.866879426552079,2.97520392769313,1.73947443781497,4.916288530746362,2.9786285548958884,2.1688518346849786,8.09336832751245,10.438913212270794,0.3062089081638979,4.733218588640275,3.6910986263111742,9.71457503623905,9.12158312249242,47.09865356599319
KS,5.704354937640565,5.612349212839911,22.69474545082805,2.4432631363729302,4.518503373543243,3.138417501533429,1.124514414230219,12.206092823553465,13.42261296258434,4.549171948476795,0.7053772234716826,0.0,0.7667143733387856,0.0,1.6663259047229606,11.562052749948887,7.748926599877326,0.0,0.0,0.8893886730729913,1.2471887139644244,0.0,11.532133679572116,6.192842007237447,3.1584475562621104,2.377650679178908,1.0552296877421592,1.791156292700358,0.8766284084994987,7.065545112896447,1.6612152331528371,6.885184215139081,3.14897268733677,1.9909406717546712,4.505503206904743,3.283312793171056,2.3347430584741535,8.789768224402795,10.208359135431747,1.02213532413865,4.919351946036561,3.129887594215728,6.73703787172787,7.333954614024295,44.33456121775944
