geo_id,obs_artifact_academic_paper_or_thesis_pct,obs_artifact_advice_or_recommendation_pct,obs_artifact_analysis_or_summary_pct,obs_artifact_app_or_website_pct,obs_artifact_audio_or_music_pct,obs_artifact_blog_or_article_pct,obs_artifact_chart_or_visualization_pct,obs_artifact_code_fix_or_debug_pct,obs_artifact_config_or_infra_pct,obs_artifact_creative_writing_pct,obs_artifact_data_or_spreadsheet_pct,obs_artifact_document_or_report_pct,obs_artifact_educational_material_pct,obs_artifact_email_or_message_pct,obs_artifact_explanation_or_answer_pct,obs_artifact_game_or_interactive_pct,obs_artifact_idea_or_brainstorm_pct,obs_artifact_image_or_graphic_pct,obs_artifact_marketing_or_social_content_pct,obs_artifact_math_or_calculation_pct,obs_artifact_ml_or_ai_system_pct,obs_artifact_none_pct,obs_artifact_other_pct,obs_artifact_plan_or_strategy_pct,obs_artifact_presentation_or_slides_pct,obs_artifact_recipe_or_meal_plan_pct,obs_artifact_resume_or_job_application_pct,obs_artifact_script_or_snippet_pct,obs_artifact_sql_or_database_query_pct,obs_artifact_translation_pct,obs_artifact_ui_or_design_mockup_pct,obs_artifact_video_or_animation_pct,exp_artifact_academic_paper_or_thesis_pct,exp_artifact_advice_or_recommendation_pct,exp_artifact_analysis_or_summary_pct,exp_artifact_app_or_website_pct,exp_artifact_audio_or_music_pct,exp_artifact_blog_or_article_pct,exp_artifact_chart_or_visualization_pct,exp_artifact_code_fix_or_debug_pct,exp_artifact_config_or_infra_pct,exp_artifact_creative_writing_pct,exp_artifact_data_or_spreadsheet_pct,exp_artifact_document_or_report_pct,exp_artifact_educational_material_pct,exp_artifact_email_or_message_pct,exp_artifact_explanation_or_answer_pct,exp_artifact_game_or_interactive_pct,exp_artifact_idea_or_brainstorm_pct,exp_artifact_image_or_graphic_pct,exp_artifact_marketing_or_social_content_pct,exp_artifact_math_or_calculation_pct,exp_artifact_ml_or_ai_system_pct,exp_artifact_none_pct,exp_artifact_other_pct,exp_artifact_plan_or_strategy_pct,exp_artifact_presentation_or_slides_pct,exp_artifact_recipe_or_meal_plan_pct,exp_artifact_resume_or_job_application_pct,exp_artifact_script_or_snippet_pct,exp_artifact_sql_or_database_query_pct,exp_artifact_translation_pct,exp_artifact_ui_or_design_mockup_pct,exp_artifact_video_or_animation_pct,dissimilarity
AK,0.29,11.49,6.75,3.3,0.0,0.29,3.16,2.87,0.86,1.72,2.73,15.66,2.44,4.17,19.83,1.44,0.57,0.43,2.16,2.16,0.29,6.9,0.0,4.02,0.72,0.86,1.15,2.73,0.14,0.14,0.57,0.14,0.891922109178427,12.980383984246801,5.945376873427415,3.551989935455639,0.030271305108850236,0.47477081282135447,1.8986226889837,2.6983699814024718,1.5156448966196259,1.888871020676075,2.648401706596652,13.653344273055463,1.8880625752105895,5.600949567880976,17.23523684498414,0.40742150749370964,0.9131418881960398,0.6730620282244831,2.394570615906356,1.9100175035554097,0.35374138496882185,7.135088064763156,0.11765671151952742,4.094324472158408,1.8794497319768078,0.644488567990373,2.0142106990482445,2.9896882179192654,0.35033147358057104,0.33624767530904714,0.7318083360682639,0.15730664041133358,8.983044524669074
AL,0.94,12.99,5.67,3.64,0.02,0.58,1.79,2.66,1.47,2.86,2.43,14.4,2.52,4.24,17.06,0.67,1.07,0.49,2.21,2.05,0.42,7.84,0.07,4.06,1.67,0.74,1.34,2.86,0.31,0.16,0.63,0.13,0.8512671660424469,13.432752808988765,6.043976279650436,3.2670661672908854,0.02897107781939242,0.4452538493549729,1.8304972950478569,2.485967540574282,1.4516500208073242,1.7654088639200995,2.6187567623803574,13.9372315855181,1.8778069080316275,5.610794839783604,17.802846441947562,0.39411256762380353,0.8996306699958385,0.6527725759467333,2.236910112359551,1.8145266333749475,0.3313670411985019,7.336940282979609,0.12335101955888471,4.092653974198917,1.7671806075738656,0.765496254681648,1.9278776529338324,2.745043695380774,0.3245869746150646,0.3167270079067831,0.6769309196837288,0.14772888056595923,4.383769246774864
AR,0.65,11.74,6.93,3.59,0.0,0.3,1.95,2.9,1.56,2.6,2.77,15.85,1.95,4.37,16.33,0.65,0.78,0.56,2.56,2.12,0.09,7.67,0.04,4.46,1.3,1.17,1.3,2.6,0.52,0.17,0.39,0.13,0.8492410048967426,13.260393868426656,6.050400255482224,3.3615701511603144,0.028955716414732803,0.4433989780711093,1.8288237172663402,2.5797924206940595,1.4816414732808174,1.751728763040238,2.7214924419842457,14.200733446880987,1.8120949542261016,5.775565254417713,17.300339578454334,0.38974451777730473,0.8844326165637643,0.6705801575473707,2.2258973813072176,1.886304023845007,0.33614860549286774,7.253665105386418,0.12743133915265065,4.060307643176495,1.7982286565893122,0.6697913561847988,1.925535448158399,2.8422429210134132,0.339806259314456,0.31377687885884603,0.6863838620395996,0.14756653182882695,6.638213753459657
AZ,0.63,13.11,5.74,3.91,0.05,0.4,1.66,2.58,1.7,1.7,2.71,13.88,1.64,5.6,17.21,0.46,0.83,0.78,2.41,1.83,0.37,7.29,0.17,4.5,1.64,0.93,1.88,2.83,0.33,0.23,0.76,0.26,0.8084317993366501,13.573499170812607,6.015176202321726,3.3569309701492536,0.02803897180762853,0.42322761194029856,1.8650756633499173,2.5686919568822555,1.491208540630183,1.667481343283582,2.69674336650083,13.87065194859038,1.7433706467661694,5.5718407960199015,17.67293014096186,0.38373756218905464,0.8931488391376453,0.6624657960199005,2.209087893864013,1.8548300165837484,0.33313640132669986,7.271807628524048,0.12312500000000001,4.1843439054726375,1.7721776533996685,0.8064417495854064,1.884571932006634,2.802680348258707,0.33369713930348266,0.3010209369817579,0.6920097429519071,0.14242537313432838,2.0191542288557245
CA,0.74,13.95,6.42,2.79,0.02,0.41,1.88,2.26,1.34,1.43,2.68,13.59,1.67,6.2,18.5,0.28,0.91,0.61,2.05,1.71,0.33,7.57,0.15,4.12,1.63,0.73,1.9,2.61,0.3,0.38,0.69,0.14,0.812815152142414,13.733018008693854,6.043634858207412,3.243957772717865,0.02790002069964811,0.4245373628648314,1.8433843924653288,2.410551645622025,1.419055061063962,1.659428689712275,2.6994825087973515,13.954383150486443,1.8463082177602985,5.632506727385635,17.816532808942252,0.3817180707927966,0.8883823225005176,0.6546832953839787,2.189520803146347,1.8276847443593465,0.3257027530531982,7.321050507141382,0.12303767335955293,4.162977644380046,1.763272614365556,0.7891295797971438,1.8764117160008291,2.69714241357897,0.32121299937901077,0.29949803353342996,0.6745632374249639,0.14067377354584978,2.3093562409439015
CO,0.61,13.95,5.96,2.98,0.01,0.37,1.72,2.23,1.35,1.36,2.91,15.35,1.27,5.91,17.26,0.34,0.82,0.68,2.35,1.69,0.3,7.9,0.15,4.39,1.72,1.1,1.68,2.42,0.23,0.25,0.63,0.1,0.792262955654793,13.856972686675666,5.987797279052862,3.285447086924914,0.027810779935611173,0.4150441375012981,1.8423366912451962,2.4849911724997398,1.4683196593623429,1.617899054938207,2.679421539100633,13.786413957835702,1.7995607020459035,5.53687091079032,17.850313635891577,0.38171357357981095,0.8894880049849411,0.6533212171565065,2.180199397652923,1.822565167722505,0.32687818049641704,7.39392564129193,0.1234520718662374,4.191839235642329,1.7679302108214772,0.7999636514695191,1.8623294215391,2.7388347699657283,0.32660816284141647,0.29264825007788964,0.6818496209367534,0.1392595285076332,3.4947538685221744
CT,1.16,13.3,6.2,3.0,0.04,0.45,1.86,2.05,1.27,1.3,2.86,13.61,2.0,6.04,18.6,0.42,0.98,0.67,1.9,1.95,0.33,7.45,0.15,3.89,2.02,0.75,2.02,2.68,0.18,0.2,0.6,0.07,0.8416529012022999,13.642679560899113,6.0269106116048095,3.1794030318870874,0.028382645060115,0.4368112911657083,1.8304119184526921,2.3410057501306847,1.37474542603241,1.6966680606377418,2.6656393099843174,13.83160480920021,1.9781777313120752,5.620475692629379,18.06377522216414,0.38825196027182446,0.9014939884997388,0.6541913225300574,2.1950005227391536,1.811951907997909,0.322511238891793,7.399787767903816,0.12280815473078935,4.126351280710926,1.7750852064819655,0.7782143230527966,1.8984150548876113,2.642995295347621,0.3138870883429169,0.30677365394668055,0.6648092002090956,0.14265028750653425,2.4720318870883458
DC,1.85,10.59,7.77,2.29,0.02,0.8,1.98,1.81,1.16,1.2,2.39,16.58,2.06,6.22,15.13,0.23,1.11,0.57,1.81,1.53,0.36,8.17,0.1,3.89,3.11,0.73,2.71,2.73,0.21,0.46,0.27,0.15,0.9907285460436915,12.302277620988816,6.117865579596529,3.1024103689766895,0.03221386014424584,0.5291617016828682,1.770153653182815,2.228656841225044,1.3053454583463993,2.18548343263301,2.672618375666352,14.641644193582103,2.041957771506219,6.291138287864533,16.8700334483119,0.42033552837880206,0.9674464304379635,0.6857740148426883,2.5376638444653494,1.7935465663217305,0.3258555451029581,7.31188355806418,0.13157625169854706,3.9073074108916055,1.839318490644925,0.6825253475488657,2.202021532350789,2.5798442562976898,0.3080380474547925,0.3845939165882722,0.669207693111738,0.17422493989756455,8.04142573429497
DE,0.67,15.92,5.33,3.92,0.0,0.5,1.51,2.86,0.95,1.46,2.58,12.72,1.68,4.88,19.06,0.45,0.95,0.78,2.19,1.85,0.34,7.12,0.17,4.54,2.13,0.5,0.95,2.69,0.62,0.17,0.45,0.06,0.7811560209424082,14.473665968586383,5.985544502617801,3.240848167539266,0.026280628272251305,0.39994136125654445,1.8391528795811514,2.369765445026178,1.348756020942408,1.509673298429319,2.6910753926701565,13.54666492146597,1.9178722513089,5.4220890052356,18.352672251308896,0.3693937172774869,0.8771916230366488,0.6480073298429319,2.1353193717277485,1.8253874345549734,0.3189696335078534,7.178091099476439,0.11414136125654449,4.242489005235602,1.783391623036649,0.7812701570680628,1.8094554973821988,2.626081675392671,0.31311518324607324,0.27645549738219893,0.6696952879581151,0.13069319371727747,4.8817722513089015
FL,0.6,12.88,5.93,4.03,0.04,0.43,1.59,2.52,1.57,1.6,2.88,14.89,1.88,5.91,15.65,0.37,0.79,0.82,3.06,1.53,0.41,8.14,0.17,4.47,1.53,0.65,1.4,2.56,0.4,0.29,0.82,0.2,0.7895245526425302,13.303663129421556,6.0846941323345805,3.3830139409071993,0.027763212650853106,0.41639825218476906,1.8687734082397007,2.5511641697877656,1.5057220141489807,1.6335830212234712,2.7891843528922178,14.142504161464835,1.7011756138160636,5.674051186017477,17.40186225551394,0.3796733250104036,0.8783302122347068,0.6721702039117772,2.2184717020391176,1.8834571369121933,0.3291573033707866,7.3586995422388695,0.12594153141905956,4.1857969205160215,1.784107365792759,0.7663462338743239,1.8755347482313771,2.803433208489388,0.33815126924677485,0.29468789013732843,0.695449438202247,0.14150124843945072,4.4118414481897625
