geo_id,AI app building,AI image generation,Account and billing,Accounting and bookkeeping,Automated pipelines,Booking and scheduling,Business operations,Buying and investing,CRM,Career navigation,Certification and training,Code design,Companionship and conversation,Cooking,Customer support and service,Dashboards and charts,Data analysis,Destination research,Document transformation,Editing and rewriting,Education and learning — other,Emotional Wellbeing and Support,Entitlements and rules,Fashion shopping,Fiction writing,Financial modeling,Finding the best price,Formatted writing,Gaming,Home renovation,Homework,Instructional design,Math and CS theory,Media discovery,Medical Questions,Outdoor and garden,Personal messages,Personal records,Promotional writing,Quant trading,Reference and fact-finding,Reference documentation,Research and evidence,Science,Self-presentation writing,Self-reflection,Server infrastructure,Slide decks,Software development — other,Software how-to,Starting a business,Structured extraction,Trend tracking,Video scripts,Web front-end,Wellness and fitness,Workplace writing
AK,,,,,,,0.8620689655172414,0.9571984435797666,,,,,,,,,,,,1.4779411764705879,,,,,,,,1.2748091603053433,1.65625,,0.48689956331877726,,,1.5447154471544715,1.0086206896551724,,,,0.8987012987012987,,,,1.7022900763358777,,0.6177285318559557,,2.289156626506024,,,,1.0343915343915344,,,,1.3619909502262442,0.9769585253456222,1.0469314079422383
AL,1.2613636363636365,1.3389830508474578,0.9298245614035089,0.9661016949152542,1.150943396226415,0.5774647887323944,,0.9416342412451362,1.0689655172413794,0.7796610169491526,0.7931034482758622,0.9711538461538461,1.275,1.013793103448276,1.6153846153846152,0.9615384615384615,0.7692307692307692,0.660377358490566,0.8701298701298702,1.0955882352941175,0.7962962962962963,0.9587301587301588,0.9538461538461538,1.2982456140350878,1.934782608695652,0.7181818181818181,0.9333333333333332,1.213740458015267,1.4453125,0.9746835443037974,0.7139737991266375,0.915492957746479,0.6818181818181818,1.7398373983739839,0.9525862068965518,1.1549295774647887,0.86,0.8363636363636363,0.948051948051948,1.078125,1.0291970802919708,0.9805825242718447,0.9923664122137404,0.7454545454545454,0.8448753462603877,0.7741935483870968,1.3253012048192774,0.7741935483870968,1.4204545454545454,0.9052631578947369,0.8783068783068783,1.015748031496063,1.1511627906976745,0.8695652173913044,1.0769230769230769,0.8294930875576038,0.8736462093862816
AR,1.1363636363636365,1.2203389830508475,,1.2203389830508475,1.7264150943396226,0.7323943661971831,,1.0739299610894941,,,,0.9326923076923076,0.99375,1.0965517241379312,1.25,1.25,0.9743589743589743,0.8490566037735849,1.1168831168831168,1.088235294117647,,0.9079365079365079,,,1.793478260869565,1.0363636363636362,1.3733333333333333,1.0534351145038168,1.7500000000000002,1.3544303797468356,0.9039301310043667,1.3661971830985915,0.8636363636363636,1.3414634146341462,0.8017241379310346,1.4084507042253522,,1.1272727272727272,1.0207792207792208,1.078125,0.8029197080291971,0.8737864077669902,0.9236641221374046,,0.8393351800554016,1.2258064516129032,1.6144578313253013,0.8306451612903226,0.8977272727272728,1.1263157894736844,1.0317460317460319,0.8425196850393701,1.127906976744186,0.7971014492753624,1.1719457013574661,0.9032258064516129,0.8844765342960289
AZ,1.0113636363636365,1.1016949152542375,1.1403508771929827,1.1016949152542375,1.0377358490566038,0.8028169014084506,1.090311986863711,0.9105058365758755,1.1034482758620692,0.864406779661017,1.0172413793103448,1.076923076923077,0.9375,0.9103448275862069,1.4038461538461537,1.096153846153846,0.9358974358974358,0.8867924528301886,0.987012987012987,1.0661764705882353,0.8703703703703702,0.9587301587301588,0.9846153846153846,0.912280701754386,1.0108695652173914,0.9090909090909091,0.7333333333333334,1.0458015267175573,1.0390625,0.8734177215189872,0.8777292576419213,1.0985915492957747,0.9431818181818181,1.008130081300813,1.1508620689655173,0.7183098591549296,1.24,0.9818181818181818,1.2493506493506492,0.78125,1.0875912408759123,1.1650485436893203,0.7633587786259541,0.8727272727272726,0.9556786703601109,0.9354838709677419,1.2409638554216869,0.8548387096774194,1.0795454545454546,1.0315789473684212,1.060846560846561,1.0078740157480315,0.872093023255814,0.8840579710144928,1.1357466063348416,0.8479262672811061,0.9530685920577617
CA,0.9090909090909092,0.9661016949152542,1.0701754385964912,0.9152542372881357,0.9339622641509433,1.1408450704225352,0.960591133004926,1.0544747081712063,1.0,1.033898305084746,0.9482758620689656,0.9807692307692307,0.9125,0.9793103448275862,0.9038461538461537,0.9807692307692307,1.051282051282051,1.1037735849056602,0.974025974025974,1.0367647058823528,1.0,0.996825396825397,0.9846153846153846,0.9473684210526317,0.7826086956521738,1.0545454545454545,1.0533333333333335,0.9236641221374046,0.75,0.7848101265822784,1.1528384279475983,0.943661971830986,1.2954545454545454,0.7398373983739838,0.9870689655172414,0.647887323943662,1.02,1.1636363636363636,0.9298701298701298,0.984375,0.9708029197080291,0.9805825242718447,1.1221374045801527,1.2181818181818183,1.03601108033241,1.0,0.8554216867469879,1.1129032258064515,0.9204545454545455,1.0526315789473684,1.037037037037037,1.062992125984252,0.9534883720930232,1.2318840579710146,0.8959276018099548,0.9953917050691246,1.075812274368231
CO,0.9318181818181818,0.6779661016949153,1.0526315789473684,0.9661016949152542,1.0,1.0,1.1330049261083746,0.9844357976653696,1.4827586206896552,0.8474576271186441,0.7068965517241379,1.0384615384615385,0.9562499999999999,1.2413793103448276,1.2307692307692308,0.9615384615384615,0.9487179487179487,1.1132075471698113,0.9090909090909091,1.0661764705882353,0.7592592592592592,0.9841269841269842,0.9692307692307692,1.0701754385964912,0.8804347826086957,1.0909090909090908,1.0133333333333334,0.8625954198473281,1.0390625,1.240506329113924,0.6135371179039302,0.7746478873239437,0.6704545454545454,0.9186991869918698,1.1163793103448276,1.4366197183098592,1.0,0.9818181818181818,1.1272727272727272,0.84375,1.094890510948905,1.2524271844660195,0.8091603053435115,0.8363636363636363,0.8836565096952909,0.8870967741935485,1.1927710843373494,0.903225806451613,0.8522727272727273,1.168421052631579,1.0502645502645505,1.0708661417322836,0.9767441860465116,0.8115942028985509,1.0180995475113122,1.0138248847926268,1.1046931407942238
CT,0.8863636363636364,0.9491525423728815,1.105263157894737,0.864406779661017,0.9150943396226414,1.1267605633802817,0.7996715927750411,1.085603112840467,1.0689655172413794,1.1186440677966103,0.7758620689655173,1.0576923076923077,0.8624999999999999,0.8068965517241379,0.9615384615384615,1.1153846153846152,1.205128205128205,0.9245283018867924,0.987012987012987,1.1691176470588236,0.8333333333333333,1.107936507936508,0.9692307692307692,1.3859649122807018,0.9891304347826086,1.0545454545454545,1.16,0.9847328244274809,0.8515625,1.1898734177215189,1.11353711790393,1.2253521126760565,1.0454545454545454,0.8455284552845529,1.0775862068965518,1.5492957746478875,1.22,1.0727272727272725,0.825974025974026,0.84375,1.1605839416058394,0.7184466019417476,1.129770992366412,1.2,1.074792243767313,1.161290322580645,0.7710843373493976,1.1209677419354838,0.8522727272727273,0.8631578947368421,0.9523809523809524,1.0078740157480315,1.255813953488372,0.8985507246376813,0.9004524886877828,1.0921658986175116,1.0613718411552346
DC,0.7159090909090909,0.864406779661017,0.9649122807017545,0.8983050847457628,0.7547169811320755,0.9295774647887325,,0.8326848249027239,0.5517241379310346,1.305084745762712,1.3793103448275863,0.8653846153846154,0.65,0.9655172413793103,,1.2115384615384615,1.4999999999999998,0.9716981132075472,1.1428571428571428,1.7573529411764706,1.037037037037037,1.0031746031746032,0.7846153846153846,0.9649122807017545,0.717391304347826,1.009090909090909,1.0666666666666667,1.213740458015267,0.640625,0.5063291139240507,1.237991266375546,1.2253521126760565,0.7159090909090909,0.7073170731707317,0.8362068965517242,0.5915492957746479,0.74,0.8545454545454544,0.825974025974026,0.859375,0.8321167883211678,1.2135922330097086,1.6030534351145038,0.9636363636363636,1.6177285318559558,0.8870967741935485,0.7108433734939759,1.3306451612903225,0.5454545454545454,0.8421052631578948,0.8994708994708995,1.125984251968504,1.4186046511627908,0.6956521739130435,0.7285067873303168,0.9078341013824885,1.3140794223826715
DE,1.0681818181818181,,,,,0.9859154929577465,,1.151750972762646,,1.2542372881355932,,0.5961538461538461,1.11875,1.103448275862069,1.1153846153846152,1.1153846153846152,0.8461538461538461,1.0660377358490565,0.9090909090909091,1.1470588235294117,1.4444444444444444,1.1492063492063493,1.676923076923077,1.1578947368421053,1.4021739130434783,0.7818181818181817,1.2,1.2519083969465647,1.3671875,1.379746835443038,1.0218340611353711,0.8732394366197184,,1.2357723577235773,1.1594827586206897,0.9859154929577465,1.32,1.0545454545454545,0.8207792207792208,1.03125,1.5109489051094889,1.174757281553398,1.0992366412213739,1.1272727272727272,0.6371191135734072,0.9354838709677419,0.8433734939759036,0.8790322580645162,0.8863636363636364,0.6105263157894737,0.8862433862433863,0.921259842519685,1.0465116279069768,,0.9864253393665159,1.096774193548387,0.8447653429602887
FL,1.2045454545454546,1.3898305084745763,1.0701754385964912,1.1186440677966103,1.320754716981132,0.915492957746479,1.2922824302134648,0.9883268482490273,1.4137931034482758,0.7796610169491526,1.0344827586206897,1.0096153846153846,0.83125,0.8689655172413794,1.173076923076923,1.1153846153846152,0.8205128205128205,0.9528301886792453,1.0909090909090908,0.8088235294117647,1.037037037037037,0.8761904761904762,0.9692307692307692,0.7894736842105264,0.9456521739130435,1.109090909090909,1.0533333333333335,1.0992366412213739,0.9062499999999999,0.8354430379746836,0.7052401746724891,0.8591549295774649,0.5113636363636364,0.9349593495934959,0.9655172413793105,0.7464788732394367,1.02,0.9272727272727272,1.374025974025974,1.3125,0.8832116788321167,1.0,0.6870229007633588,0.5636363636363636,0.8116343490304709,0.870967741935484,1.0120481927710843,0.9435483870967741,1.0909090909090908,1.0315789473684212,1.1005291005291007,1.141732283464567,1.0,1.318840579710145,1.2850678733031673,0.9585253456221199,1.0541516245487363
