geo_id,n_resp,wvs_independence,wvs_imagination,wvs_obedience,wvs_hardwork,wvs_perseverance,wvs_respect_authority_good,wvs_autonomy_index
AND,1004,46.81274900398406,30.0796812749004,35.95617529880478,44.02390438247012,36.354581673306775,47.247247247247245,40.93625498007968
ARG,1003,30.79455894600271,20.09923054216235,36.8724810312878,56.46396892933729,28.790685955695288,66.45143106039599,14.021308456877257
ARM,1223,19.874555161890225,8.385087710415926,20.19492434989051,71.28974379194533,28.72360809710162,79.53504589957956,8.064718522415642
AUS,1813,51.86982755299343,35.76511466834262,19.026820824190814,47.44808273306648,42.71351498821521,55.763433740827054,68.60812139714523
BGD,1200,32.83333333333333,10.0,14.833333333333334,51.583333333333336,11.25,76.40249332146037,27.999999999999993
BOL,2067,21.806702282661487,14.570179698882955,47.30451675570666,44.681884409907724,18.79553181155901,89.5609756097561,-10.927634774162215
BRA,1762,26.84122647664256,15.571104702084964,42.977360240029206,55.29709442873276,23.410520627503892,73.54047014140939,-0.5650290613016793
CAN,4018,49.3608158349225,28.08019269481383,14.81484350067972,47.38919035453095,48.290466400558046,44.36966569153151,62.626165029056615
CHL,1000,29.501689076870303,22.563583272879935,36.83149565634535,28.211717730376552,35.137170280746744,60.649013004920974,15.233776693404884
CHN,3036,78.60838631076554,21.662212713104825,5.7525715006901095,70.74447485890938,20.576090454547224,62.306346981383584,94.51802752318025
COL,1520,28.815789473684212,18.22368421052632,48.421052631578945,24.605263157894736,16.447368421052634,87.5,-1.3815789473684106
CYP,1000,37.371969609423026,12.293118149908182,45.19394818070205,77.29739155096532,37.93138911432059,46.44941544382133,4.471139578629156
CZE,1200,34.07280132216649,14.783283518620664,28.739362455825933,23.165684652731237,49.552515386574925,41.40155987686677,20.11672238496122
DEU,1528,69.83606557377048,23.081967213114755,11.80327868852459,39.73770491803278,33.50819672131147,59.68728755948335,81.11475409836065
ECU,1200,24.666666666666668,16.583333333333332,62.583333333333336,28.916666666666668,18.083333333333336,89.93288590604027,-21.333333333333336
EGY,1200,14.428690575479566,5.838198498748957,55.713094245204346,60.216847372810676,10.758965804837365,75.82116788321169,-35.44620517097582
ETH,1230,38.130081300813,16.585365853658537,51.54471544715447,63.82113821138211,20.975609756097562,59.6694214876033,3.170731707317067
GBR,2609,51.84082532025086,36.90813260063403,11.169632158075512,48.411325797923574,41.32448861920703,56.500527079414354,77.57932576280938
GRC,1200,42.34536098459453,16.643976132659464,25.619027618697444,74.374857621307,53.49339801354588,28.79183287180246,33.37030949855655
GTM,1229,67.51863684771034,54.53501722158438,76.29937629937629,68.5031185031185,57.51173708920187,65.01220504475184,45.75427776991843
HKG,2075,56.140344137107235,16.87935152915134,10.079445829127433,51.79451448165771,40.61285700100084,25.040482416399428,62.940249837131134
IDN,3200,54.364979718504955,7.341322594094993,32.309482924187115,40.57545392136074,22.926034645174962,42.0517934367049,29.39681938841283
IND,1692,57.58158870877745,22.333893816672376,22.09888140006662,74.20661666615563,30.382841815842216,50.243164705662046,57.816601125383215
IRN,1499,33.3555703802535,27.15143428952635,34.2895263509006,45.23015343562375,57.1714476317545,44.31741761936785,26.21747831887925
IRQ,1200,13.750000000000002,12.75,56.58333333333333,45.83333333333333,21.5,77.0223752151463,-30.08333333333333
JOR,1203,28.345802161263506,16.375727348295925,46.88279301745636,36.408977556109726,18.86949293433084,87.42665549036045,-2.1612635078969262
JPN,1353,60.236511456023656,40.280857354028086,2.7346637102734666,25.055432372505543,63.26681448632668,1.8628912071535022,97.78270509977828
KAZ,1276,41.692789968652036,14.655172413793101,25.313479623824453,78.29153605015674,41.14420062695925,53.719723183391,31.034482758620687
KEN,1266,32.78041074249605,13.902053712480253,41.31121642969984,81.27962085308057,26.856240126382307,78.56,5.371248025276465
KGZ,1200,33.06776323773573,11.590534844335169,17.48767261693555,74.35439159260612,36.796242177492736,64.93302323815952,27.17062546513535
KOR,1245,60.401606425702816,52.36947791164659,5.140562248995984,60.88353413654618,49.63855421686747,18.072289156626507,107.63052208835342
LBN,1200,42.25,24.333333333333336,9.833333333333332,44.416666666666664,30.916666666666664,75.16891891891892,56.750000000000014
LBY,1196,21.73913043478261,8.193979933110368,43.06020066889632,45.90301003344482,12.792642140468228,85.54216867469879,-13.127090301003342
MAC,1023,62.85434995112414,28.54349951124145,10.166177908113392,65.78690127077223,38.41642228739003,25.984251968503933,81.2316715542522
MAR,1200,43.083333333333336,16.25,36.25,65.16666666666666,31.0,63.24999999999999,23.083333333333336
MDV,1039,31.665062560153995,9.528392685274301,55.202312138728324,43.118383060635225,28.7776708373436,79.13043478260869,-14.008856893300027
MEX,1741,33.42499331319147,19.537983686643546,57.16023103748682,39.45597054878853,24.194053679955772,60.86561989021255,-4.1972540376517955
MMR,1200,37.083333333333336,41.41666666666667,50.0,45.666666666666664,43.416666666666664,42.75,28.5
MNG,1638,60.025325152611444,31.792612977848673,31.865319098662432,71.91239137474025,41.53947083398698,37.798212316648765,59.95261903179769
MYS,1313,55.06473724295506,9.291698400609292,13.023610053313023,32.901751713632905,23.45773038842346,52.85605483625285,51.33282559025133
NGA,1237,30.678487592487592,13.998280420627307,57.560684926666106,73.88251635054293,20.88687782533881,90.7891247270094,-12.88391691355121
NIC,1200,26.166666666666664,11.833333333333334,63.083333333333336,32.58333333333333,15.833333333333332,86.91666666666666,-25.083333333333336
NIR,447,49.102808343638756,30.578637537427888,22.40282002046418,46.290418376161334,32.901863661048104,54.852275262987106,57.278625860602475
NLD,2145,52.89855072463768,25.36231884057971,14.444444444444443,26.811594202898554,23.96135265700483,71.08179419525065,63.81642512077295
NZL,1057,52.88552507095553,40.05681818181818,19.318181818181817,46.7360454115421,50.09469696969697,48.80239520958084,73.6241614345919
PAK,1995,20.75187969924812,13.834586466165414,48.87218045112782,36.99248120300752,22.857142857142858,41.458333333333336,-14.285714285714285
PER,1400,23.017967903786456,11.096104979109901,40.912336815945075,43.54231589465735,21.828768333690466,70.1205334206994,-6.798263933048716
PHL,1200,53.75686980779106,10.329351645144055,33.281327792043086,61.77669284673877,17.947006263308154,83.98473120381618,30.804893660892034
